Category,Name,Dates,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD)
5,Esther,"September 17,, 1961",160 mph (260 km/h),,,7,$6 million
5,Hattie,"	October 31,, 1961",165 mph (270 km/h),,,319,$60.3 million
5,Beulah,"	September 20,, 1967",160 mph (260 km/h),,,59,$208 million
5,Camille,"	August 16–18, 1969",175 mph (280 km/h),,,259,$1.42 billion
5,Edith,"	September 9,, 1971",160 mph (260 km/h),,,37,$25.4 million
5,Anita,"	September 2,, 1977",175 mph (280 km/h),,,11,Extensive
5,David,"	August 30–31, 1979",175 mph (280 km/h),,,2068,$1.54 billion
5,Allen,"August 5–9, 1980",190 mph (305 km/h),,,269,$1.24 billion
5,Gilbert,"September 13–14, 1988",185 mph (295 km/h),,,318,$7.1 billion
5,Hugo,"September 15,, 1989",160 mph (260 km/h),,,107,$10 billion
5,Andrew,"	August 23–24, 1992",175 mph (280 km/h),,,65,$26.5 billion
5,Mitch,"October 26–28, 1998",180 mph (285 km/h),,,19325,$6.2 billion
5,Isabel,"	September 11–14, 2003",165 mph (270 km/h),,,51,$5.37 billion
5,Ivan,"September 9–14, 2004",165 mph (270 km/h),,,124,$23.3 billion
5,Emily,"July 16,, 2005",160 mph (260 km/h),,,17,$1.01 billion
5,Katrina,"August 28–29, 2005",175 mph (280 km/h),,,1836,$125 billion
5,Rita,"September 21–22, 2005",180 mph (285 km/h),,,125,$12 billion
5,Wilma,"October 19,, 2005",185 mph (295 km/h),,,87,$29.4 billion
5,Dean,"August 18–21, 2007",175 mph (280 km/h),,,45,$1.76 billion
5,Felix,"	September 3–4, 2007",175 mph (280 km/h),,,133,$720 million
5,Matthew,"October 1,, 2016",165 mph (270 km/h),,,603,$15.1 billion
5,Irma,"September 5–9, 2017",180 mph (285 km/h),,,138,$64.8 billion
5,Maria,"September 18–20, 2017",175 mph (280 km/h),,,3057,$91.6 billion
5,Michael,"October 10,, 2018",160 mph (260 km/h),,,74,$25.1 billion
5,Dorian,"September 1–2, 2019",185 mph (295 km/h),,,84,$5.1 billion
5,Lorenzo,"September 29,, 2019",160 mph (260 km/h),,,19,$362 million
